sisterOf	$\forall A,B,C: parentOf(B, A) \land parentOf(B, C) \land female(A) \rightarrow sisterOf(A,C)$
brotherOf	$\forall A,B,C: parentOf(B, A) \land parentOf(B, C) \land male(A) \rightarrow brotherOf(A,C)$
motherOf	$\forall A,B: parentOf(A, B) \land female(A) \rightarrow motherOf(A,B)$
fatherOf	$\forall A,B: parentOf(A, B) \land male(A) \rightarrow fatherOf(A,B)$
grandmotherOf	$\forall A,B,C: parentOf(A, B) \land parentOf(B, C) \land female(A) \rightarrow grandmotherOf(A,C)$
grandfatherOf	$\forall A,B,C: parentOf(A, B) \land parentOf(B, C) \land male(A) \rightarrow grandfatherOf(A,C)$
greatGrandmotherOf	$\forall A,B,C,D: parentOf(A, B) \land parentOf(B, C) \land parentOf(C, D) \land female(A) \rightarrow greatGrandmotherOf(A,D)$
greatGrandfatherOf	$\forall A,B,C,D: parentOf(A, B) \land parentOf(B, C) \land parentOf(C, D) \land male(A) \rightarrow greatGrandfatherOf(A,D)$
auntOf	$\forall A,B,C,D: parentOf(B, A) \land parentOf(B, C) \land parentOf(C, D) \land female(A) \rightarrow auntOf(A,D)$
uncleOf	$\forall A,B,C,D: parentOf(B, A) \land parentOf(B, C) \land parentOf(C, D) \land male(A) \rightarrow uncleOf(A,D)$
greatAuntOf	$\forall A,B,C,D,E: parentOf(B, A) \land parentOf(B, C) \land parentOf(C, D) \land parentOf(D, E) \land female(A) \rightarrow greatAuntOf(A,E)$
greatUncleOf	$\forall A,B,C,D,E: parentOf(B, A) \land parentOf(B, C) \land parentOf(C, D) \land parentOf(D, E) \land male(A) \rightarrow greatUncleOf(A,E)$
secondAuntOf	$\forall A,B,C,D,E,F: parentOf(B, A) \land parentOf(C, B) \land parentOf(C, D) \land parentOf(D, E) \land parentOf(E, F) \land female(A) \rightarrow secondAuntOf(A,F)$
secondUncleOf	$\forall A,B,C,D,E,F: parentOf(B, A) \land parentOf(C, B) \land parentOf(C, D) \land parentOf(D, E) \land parentOf(E, F) \land male(A) \rightarrow secondUncleOf(A,F)$
girlCousinOf	$\forall A,B,C,D,E: parentOf(B, A) \land parentOf(C, B) \land parentOf(C, D) \land parentOf(D, E) \land female(A) \rightarrow girlCousinOf(A,E)$
boyCousinOf	$\forall A,B,C,D,E: parentOf(B, A) \land parentOf(C, B) \land parentOf(C, D) \land parentOf(D, E) \land male(A) \rightarrow boyCousinOf(A,E)$
girlSecondCousinOf	$\forall A,B,C,D,E,F,G: parentOf(B, A) \land parentOf(C, B) \land parentOf(D, C) \land parentOf(D, E) \land parentOf(E, F) \land parentOf(F, G) \land female(A) \rightarrow girlSecondCousinOf(A,G)$
boySecondCousinOf	$\forall A,B,C,D,E,F,G: parentOf(B, A) \land parentOf(C, B) \land parentOf(D, C) \land parentOf(D, E) \land parentOf(E, F) \land parentOf(F, G) \land male(A) \rightarrow boySecondCousinOf(A,G)$
girlFirstCousinOnceRemovedOf	$\forall A,B,C,D,E,F: parentOf(B, A) \land parentOf(C, B) \land parentOf(D, C) \land parentOf(D, E) \land parentOf(E, F) \land female(A) \rightarrow girlFirstCousinOnceRemovedOf(A,F)$
boyFirstCousinOnceRemovedOf	$\forall A,B,C,D,E,F: parentOf(B, A) \land parentOf(C, B) \land parentOf(D, C) \land parentOf(D, E) \land parentOf(E, F) \land male(A) \rightarrow boyFirstCousinOnceRemovedOf(A,F)$
daughterOf	$\forall A,B: parentOf(B, A) \land female(A) \rightarrow daughterOf(A,B)$
sonOf	$\forall A,B: parentOf(B, A) \land male(A) \rightarrow sonOf(A,B)$
granddaughterOf	$\forall A,B,C: parentOf(B, A) \land parentOf(C, B) \land female(A) \rightarrow granddaughterOf(A,C)$
grandsonOf	$\forall A,B,C: parentOf(B, A) \land parentOf(C, B) \land male(A) \rightarrow grandsonOf(A,C)$
greatGranddaughterOf	$\forall A,B,C,D: parentOf(B, A) \land parentOf(C, B) \land parentOf(D, C) \land female(A) \rightarrow greatGranddaughterOf(A,D)$
greatGrandsonOf	$\forall A,B,C,D: parentOf(B, A) \land parentOf(C, B) \land parentOf(D, C) \land male(A) \rightarrow greatGrandsonOf(A,D)$
nieceOf	$\forall A,B,C,D: parentOf(B, A) \land parentOf(C, B) \land parentOf(C, D) \land female(A) \rightarrow nieceOf(A,D)$
nephewOf	$\forall A,B,C,D: parentOf(B, A) \land parentOf(C, B) \land parentOf(C, D) \land male(A) \rightarrow nephewOf(A,D)$
