parentOf	r1
sisterOf	r2
brotherOf	r3
motherOf	r4
fatherOf	r5
grandmotherOf	r6
grandfatherOf	r7
greatGrandmotherOf	r8
greatGrandfatherOf	r9
auntOf	r10
uncleOf	r11
greatAuntOf	r12
greatUncleOf	r13
secondAuntOf	r14
secondUncleOf	r15
girlCousinOf	r16
boyCousinOf	r17
girlSecondCousinOf	r18
boySecondCousinOf	r19
girlFirstCousinOnceRemovedOf	r20
boyFirstCousinOnceRemovedOf	r21
daughterOf	r22
sonOf	r23
granddaughterOf	r24
grandsonOf	r25
greatGranddaughterOf	r26
greatGrandsonOf	r27
nieceOf	r28
nephewOf	r29
greatAuntUncleOf	r30
grandparentOf	r31
greatGrandparentOf	r32
auntUncleOf	r33
siblingOf	r34
secondAuntUncleOf	r35
childOf	r36
grandchildOf	r37
greatGrandchildOf	r38
nieceNephewOf	r39
cousinOf	r40
secondCousinOf	r41
firstCousinOnceRemovedOf	r42
male	r43
female	r44
inverse_parentOf	r45
inverse_sisterOf	r46
inverse_brotherOf	r47
inverse_motherOf	r48
inverse_fatherOf	r49
inverse_grandmotherOf	r50
inverse_grandfatherOf	r51
inverse_greatGrandmotherOf	r52
inverse_greatGrandfatherOf	r53
inverse_auntOf	r54
inverse_uncleOf	r55
inverse_greatAuntOf	r56
inverse_greatUncleOf	r57
inverse_secondAuntOf	r58
inverse_secondUncleOf	r59
inverse_girlCousinOf	r60
inverse_boyCousinOf	r61
inverse_girlSecondCousinOf	r62
inverse_boySecondCousinOf	r63
inverse_girlFirstCousinOnceRemovedOf	r64
inverse_boyFirstCousinOnceRemovedOf	r65
inverse_daughterOf	r66
inverse_sonOf	r67
inverse_granddaughterOf	r68
inverse_grandsonOf	r69
inverse_greatGranddaughterOf	r70
inverse_greatGrandsonOf	r71
inverse_nieceOf	r72
inverse_nephewOf	r73
inverse_greatAuntUncleOf	r74
inverse_grandparentOf	r75
inverse_greatGrandparentOf	r76
inverse_auntUncleOf	r77
inverse_siblingOf	r78
inverse_secondAuntUncleOf	r79
inverse_childOf	r80
inverse_grandchildOf	r81
inverse_greatGrandchildOf	r82
inverse_nieceNephewOf	r83
inverse_cousinOf	r84
inverse_secondCousinOf	r85
inverse_firstCousinOnceRemovedOf	r86
inverse_male	r87
inverse_female	r88
