sisterOf	$\forall X,Y,Z: childOf(X, Y) \land parentOf(Y, Z) \land female(X) \rightarrow sisterOf(X, Z)$
brotherOf	$\forall X,Y,Z: childOf(X, Y) \land parentOf(Y, Z) \land male(X) \rightarrow brotherOf(X, Z)$
motherOf	$\forall X,Y: parentOf(X, Y) \land female(X) \rightarrow motherOf(X, Y)$
fatherOf	$\forall X,Y: parentOf(X, Y) \land male(X) \rightarrow fatherOf(X, Y)$
grandmotherOf	$\forall X,Y,Z: parentOf(X, Y) \land parentOf(Y, Z) \land female(X) \rightarrow grandmotherOf(X, Z)$
grandfatherOf	$\forall X,Y,Z: parentOf(X, Y) \land parentOf(Y, Z) \land male(X) \rightarrow grandfatherOf(X, Z)$
greatGrandmotherOf	$\forall X,Y,Z,W: parentOf(X, Y) \land parentOf(Y, Z) \land parentOf(Z, W) \land female(X) \rightarrow greatGrandmotherOf(X, W)$
greatGrandfatherOf	$\forall X,Y,Z,W: parentOf(X, Y) \land parentOf(Y, Z) \land parentOf(Z, W) \land male(X) \rightarrow greatGrandfatherOf(X, W)$
auntOf	$\forall X,Y,Z,W: childOf(X, Y) \land parentOf(Y, Z) \land parentOf(Z, W) \land female(X) \rightarrow auntOf(X, W)$
uncleOf	$\forall X,Y,Z,W: childOf(X, Y) \land parentOf(Y, Z) \land parentOf(Z, W) \land male(X) \rightarrow uncleOf(X, W)$
greatAuntOf	$\forall X,Y,Z,W,V: childOf(X, Y) \land parentOf(Y, Z) \land parentOf(Z, W) \land parentOf(W, V) \land female(X) \rightarrow greatAuntOf(X, V)$
greatUncleOf	$\forall X,Y,Z,W,V: childOf(X, Y) \land parentOf(Y, Z) \land parentOf(Z, W) \land parentOf(W, V) \land male(X) \rightarrow greatUncleOf(X, V)$
secondAuntOf	$\forall X,Y,Z,W,V,U: childOf(X, Y) \land childOf(Y, Z) \land parentOf(Z, W) \land parentOf(W, V) \land parentOf(V, U) \land female(X) \rightarrow secondAuntOf(X, U)$
secondUncleOf	$\forall X,Y,Z,W,V,U: childOf(X, Y) \land childOf(Y, Z) \land parentOf(Z, W) \land parentOf(W, V) \land parentOf(V, U) \land male(X) \rightarrow secondUncleOf(X, U)$
girlCousinOf	$\forall X,Y,Z,W,V: childOf(X, Y) \land childOf(Y, Z) \land parentOf(Z, W) \land parentOf(W, V) \land female(X) \rightarrow girlCousinOf(X, V)$
boyCousinOf	$\forall X,Y,Z,W,V: childOf(X, Y) \land childOf(Y, Z) \land parentOf(Z, W) \land parentOf(W, V) \land male(X) \rightarrow boyCousinOf(X, V)$
girlSecondCousinOf	$\forall X,Y,Z,W,V,U,T: childOf(X, Y) \land childOf(Y, Z) \land childOf(Z, W) \land parentOf(W, V) \land parentOf(V, U) \land parentOf(U, T) \land female(X) \rightarrow girlSecondCousinOf(X, T)$
boySecondCousinOf	$\forall X,Y,Z,W,V,U,T: childOf(X, Y) \land childOf(Y, Z) \land childOf(Z, W) \land parentOf(W, V) \land parentOf(V, U) \land parentOf(U, T) \land male(X) \rightarrow boySecondCousinOf(X, T)$
girlFirstCousinOnceRemovedOf	$\forall X,Y,Z,W,V,U: childOf(X, Y) \land childOf(Y, Z) \land childOf(Z, W) \land parentOf(W, V) \land parentOf(V, U) \land female(X) \rightarrow girlFirstCousinOnceRemovedOf(X, U)$
boyFirstCousinOnceRemovedOf	$\forall X,Y,Z,W,V,U: childOf(X, Y) \land childOf(Y, Z) \land childOf(Z, W) \land parentOf(W, V) \land parentOf(V, U) \land male(X) \rightarrow boyFirstCousinOnceRemovedOf(X, U)$
daughterOf	$\forall X,Y: childOf(X, Y) \land female(X) \rightarrow daughterOf(X, Y)$
sonOf	$\forall X,Y: childOf(X, Y) \land male(X) \rightarrow sonOf(X, Y)$
granddaughterOf	$\forall X,Y,Z: childOf(X, Y) \land childOf(Y, Z) \land female(X) \rightarrow granddaughterOf(X, Z)$
grandsonOf	$\forall X,Y,Z: childOf(X, Y) \land childOf(Y, Z) \land male(X) \rightarrow grandsonOf(X, Z)$
greatGranddaughterOf	$\forall X,Y,Z,W: childOf(X, Y) \land childOf(Y, Z) \land childOf(Z, W) \land female(X) \rightarrow greatGranddaughterOf(X, W)$
greatGrandsonOf	$\forall X,Y,Z,W: childOf(X, Y) \land childOf(Y, Z) \land childOf(Z, W) \land male(X) \rightarrow greatGrandsonOf(X, W)$
nieceOf	$\forall X,Y,Z,W: childOf(X, Y) \land childOf(Y, Z) \land parentOf(Z, W) \land female(X) \rightarrow nieceOf(X, W)$
nephewOf	$\forall X,Y,Z,W: childOf(X, Y) \land childOf(Y, Z) \land parentOf(Z, W) \land male(X) \rightarrow nephewOf(X, W)$
